record,observer_id,date,time,time_meal,enclosure_access,location,focal_id,actor_id,receiver_id,duration_sec,occurrences,behavior,condition,activity,behavior_modifier,,,,
387,1231,06/10/2016,7:00:18,before,satellite_only,satellite,FY,FY,,4.051,1,stb_swinging,satellite,abnormal,,,,,
389,1231,06/10/2016,7:00:23,before,satellite_only,satellite,FY,FY,,4.135,1,movement,satellite,movement,,,,,
391,1231,06/10/2016,7:00:27,before,satellite_only,satellite,FY,FY,FY,3.342,1,sdb_other,satellite,self_directed,,,,,
393,1231,06/10/2016,7:00:30,before,satellite_only,satellite,FY,FY,FY,36.023,1,sdb_scratching,satellite,self_directed,,,,,
395,1231,06/10/2016,7:01:06,before,satellite_only,satellite,FY,FY,,7.589,1,rubbing,satellite,sociosexual,genitals_on_surface,,,,
397,1231,06/10/2016,7:01:14,before,satellite_only,satellite,FY,FY,,10.472,1,movement,satellite,movement,,,,,
399,1231,06/10/2016,7:01:24,before,satellite_only,satellite,FY,FY,FY,53.092,1,sdb_scratching,satellite,self_directed,,,,,
401,1231,06/10/2016,7:02:17,before,satellite_only,satellite,FY,FY,HUMAN,4.831,1,human_interaction,satellite,caregiver,,,,,
403,1231,06/10/2016,7:02:22,before,satellite_only,satellite,FY,FY,,28.346,1,drink,satellite,forage,,,,,
405,1231,06/10/2016,7:02:50,before,satellite_only,satellite,FY,FY,,15.769,1,movement,satellite,movement,,,,,
407,1231,06/10/2016,7:03:06,before,satellite_only,satellite,FY,FY,,33.963,1,inactive,satellite,inactive,,,,,
409,1231,06/10/2016,7:03:40,before,satellite_only,satellite,FY,FY,FY,4.816,1,sdb_scratching,satellite,self_directed,,,,,
411,1231,06/10/2016,7:03:45,before,satellite_only,satellite,FY,FY,,5.602,1,movement,satellite,movement,,,,,
413,1231,06/10/2016,7:03:50,before,satellite_only,satellite,FY,FY,,24.838,1,feed,satellite,forage,,,,,
414,1231,06/10/2016,7:04:11,before,satellite_only,satellite,FY,FY,,0,1,v_whinny,satellite,vocalization,,,,,
416,1231,06/10/2016,7:04:15,before,satellite_only,satellite,FY,FY,,27.287,1,feed,satellite,forage,,,,,
418,1231,06/10/2016,7:04:43,before,satellite_only,satellite,FY,FY,FG,5.282,1,feed_cofeed,satellite,forage,,,,,
420,1231,06/10/2016,7:04:48,before,satellite_only,satellite,FY,FY,,11.321,1,movement,satellite,movement,,,,,
422,1231,06/10/2016,7:04:59,before,satellite_only,satellite,FY,FY,FG,11.912,1,feed_cofeed,satellite,forage,,,,,
424,1231,06/10/2016,7:05:11,before,satellite_only,satellite,FY,FY,,2.759,1,movement,satellite,movement,,,,,
426,1231,06/10/2016,7:05:14,before,satellite_only,satellite,FY,FY,,5.759,1,feed,satellite,forage,,,,,
428,1231,06/10/2016,7:05:20,before,satellite_only,satellite,FY,FY,,8.428,1,movement,satellite,movement,,,,,
430,1231,06/10/2016,7:05:28,before,satellite_only,satellite,FY,FY,,14.629,1,feed,satellite,forage,,,,,
432,1231,06/10/2016,7:05:43,before,satellite_only,satellite,FY,FY,,13.059,1,movement,satellite,movement,,,,,
434,1231,06/10/2016,7:05:56,before,satellite_only,satellite,FY,FY,,11.333,1,feed,satellite,forage,,,,,
436,1231,06/10/2016,7:06:07,before,satellite_only,satellite,FY,FY,,13.608,1,movement,satellite,movement,,,,,
438,1231,06/10/2016,7:06:21,before,satellite_only,satellite,FY,FY,,11.444,1,feed,satellite,forage,,,,,
440,1231,06/10/2016,7:06:32,before,satellite_only,satellite,FY,FY,,21.136,1,movement,satellite,movement,,,,,
541,916,06/10/2016,9:06:43,none,both_enclosures,satellite,RK,RK,,12.081,1,inactive,sbc,inactive,,,,,
543,916,06/10/2016,9:06:55,none,both_enclosures,satellite,RK,RK,RK,11.454,1,sdb_groom,sbc,self_directed,,,,,
545,916,06/10/2016,9:07:07,none,both_enclosures,satellite,RK,RK,,9.993,1,movement,sbc,movement,,,,,
547,916,06/10/2016,9:07:17,none,both_enclosures,satellite,RK,RK,,16.163,1,inactive,sbc,inactive,,,,,
548,916,06/10/2016,9:07:19,none,both_enclosures,satellite,RK,RK,,0,1,v_whinny,sbc,vocalization,,,,,
550,916,06/10/2016,9:07:33,none,both_enclosures,satellite,RK,RK,RK,7.055,1,sdb_yawn,sbc,other,,,,,
552,916,06/10/2016,9:07:40,none,both_enclosures,satellite,RK,RK,,43.767,1,inactive,sbc,inactive,,,,,
554,916,06/10/2016,9:08:24,none,both_enclosures,satellite,RK,RK,RK,5.636,1,sdb_scratching,sbc,self_directed,,,,,
556,916,06/10/2016,9:08:29,none,both_enclosures,satellite,RK,RK,RK,25.564,1,sdb_groom,sbc,self_directed,,,,,
557,916,06/10/2016,9:08:33,none,both_enclosures,satellite,RK,RK,,0,1,v_whinny,sbc,vocalization,,,,,
559,916,06/10/2016,9:08:55,none,both_enclosures,satellite,RK,RK,,17.054,1,inactive,sbc,inactive,,,,,
561,916,06/10/2016,9:09:12,none,both_enclosures,satellite,RK,RK,RK,22.91,1,sdb_groom,sbc,self_directed,,,,,
563,916,06/10/2016,9:09:35,none,both_enclosures,satellite,RK,RK,,193.404,1,inactive,sbc,inactive,,,,,
564,916,06/10/2016,9:09:51,none,both_enclosures,satellite,RK,RK,,0,1,v_whinny,sbc,vocalization,,,,,
566,916,06/10/2016,9:12:48,none,both_enclosures,satellite,RK,RK,,15.981,1,feed,sbc,forage,,,,,
568,916,06/10/2016,9:13:04,none,both_enclosures,satellite,RK,RK,,223.805,1,inactive,sbc,inactive,,,,,
569,916,06/10/2016,9:13:09,none,both_enclosures,satellite,RK,RK,,0,1,v_whinny,sbc,vocalization,,,,,
570,916,06/10/2016,9:13:37,none,both_enclosures,satellite,RK,RK,,0,1,v_whinny,sbc,vocalization,,,,,
571,916,06/10/2016,9:13:44,none,both_enclosures,satellite,RK,RK,,0,1,v_whinny,sbc,vocalization,,,,,
572,916,06/10/2016,9:15:28,none,both_enclosures,satellite,RK,RK,,0,1,v_whinny,sbc,vocalization,,,,,
574,916,06/10/2016,9:16:48,none,both_enclosures,satellite,RK,RK,,5.793,1,movement,sbc,movement,,,,,
575,916,06/10/2016,9:16:51,none,both_enclosures,satellite,RK,RK,,0,1,v_whinny,sbc,vocalization,,,,,
577,916,06/10/2016,9:16:54,none,both_enclosures,satellite,RK,RK,,222.822,1,inactive,sbc,inactive,,,,,
578,916,06/10/2016,9:18:44,none,both_enclosures,satellite,RK,RK,,0,1,v_whinny,sbc,vocalization,,,,,
580,916,06/10/2016,9:20:36,none,both_enclosures,satellite,RK,RK,RK,12.949,1,sdb_groom,sbc,self_directed,,,,,
582,916,06/10/2016,9:20:49,none,both_enclosures,satellite,RK,RK,,24.224,1,inactive,sbc,inactive,,,,,
584,916,06/10/2016,9:21:14,none,both_enclosures,satellite,RK,RK,RK,7.628,1,sdb_groom,sbc,self_directed,,,,,
