record,observer_id,date,period,month,time,time_meal,enclosure_access,n_encl,location,focal_id,actor_id,receiver_id,duration_sec,occurrences,behavior,condition,activity,behavior_modifier,focal_sex,focal_group,focal_age
387,1231,06/10/2016,jun-jul,1,7:00:18,before,satellite_only,1,satellite,FY,FY,,4.051,1,stb_swinging,satellite,abnormal,,female,sat1,adult
389,1231,06/10/2016,jun-jul,1,7:00:23,before,satellite_only,1,satellite,FY,FY,,4.135,1,movement,satellite,movement,,female,sat1,adult
391,1231,06/10/2016,jun-jul,1,7:00:27,before,satellite_only,1,satellite,FY,FY,FY,3.342,1,sdb_other,satellite,self_directed,,female,sat1,adult
393,1231,06/10/2016,jun-jul,1,7:00:30,before,satellite_only,1,satellite,FY,FY,FY,36.023,1,sdb_scratching,satellite,self_directed,,female,sat1,adult
395,1231,06/10/2016,jun-jul,1,7:01:06,before,satellite_only,1,satellite,FY,FY,,7.589,1,rubbing,satellite,sociosexual,genitals_on_surface,female,sat1,adult
397,1231,06/10/2016,jun-jul,1,7:01:14,before,satellite_only,1,satellite,FY,FY,,10.472,1,movement,satellite,movement,,female,sat1,adult
399,1231,06/10/2016,jun-jul,1,7:01:24,before,satellite_only,1,satellite,FY,FY,FY,53.092,1,sdb_scratching,satellite,self_directed,,female,sat1,adult
401,1231,06/10/2016,jun-jul,1,7:02:17,before,satellite_only,1,satellite,FY,FY,HUMAN,4.831,1,human_interaction,satellite,caregiver,,female,sat1,adult
403,1231,06/10/2016,jun-jul,1,7:02:22,before,satellite_only,1,satellite,FY,FY,,28.346,1,drink,satellite,forage,,female,sat1,adult
405,1231,06/10/2016,jun-jul,1,7:02:50,before,satellite_only,1,satellite,FY,FY,,15.769,1,movement,satellite,movement,,female,sat1,adult
407,1231,06/10/2016,jun-jul,1,7:03:06,before,satellite_only,1,satellite,FY,FY,,33.963,1,inactive,satellite,inactive,,female,sat1,adult
409,1231,06/10/2016,jun-jul,1,7:03:40,before,satellite_only,1,satellite,FY,FY,FY,4.816,1,sdb_scratching,satellite,self_directed,,female,sat1,adult
411,1231,06/10/2016,jun-jul,1,7:03:45,before,satellite_only,1,satellite,FY,FY,,5.602,1,movement,satellite,movement,,female,sat1,adult
413,1231,06/10/2016,jun-jul,1,7:03:50,before,satellite_only,1,satellite,FY,FY,,24.838,1,feed,satellite,forage,,female,sat1,adult
414,1231,06/10/2016,jun-jul,1,7:04:11,before,satellite_only,1,satellite,FY,FY,,0,1,v_whinny,satellite,vocalization,,female,sat1,adult
416,1231,06/10/2016,jun-jul,1,7:04:15,before,satellite_only,1,satellite,FY,FY,,27.287,1,feed,satellite,forage,,female,sat1,adult
418,1231,06/10/2016,jun-jul,1,7:04:43,before,satellite_only,1,satellite,FY,FY,FG,5.282,1,feed_cofeed,satellite,forage,,female,sat1,adult
420,1231,06/10/2016,jun-jul,1,7:04:48,before,satellite_only,1,satellite,FY,FY,,11.321,1,movement,satellite,movement,,female,sat1,adult
422,1231,06/10/2016,jun-jul,1,7:04:59,before,satellite_only,1,satellite,FY,FY,FG,11.912,1,feed_cofeed,satellite,forage,,female,sat1,adult
