observer_id,date,month,time,time_meal,n_encl,location_focal,focal_id,focal_sex,focal_group,focal_age,height_index,height_scaled,nearest_id,nearest_m,n_prox_1m,n_prox_5m,scans
916,06/10/2016,jun_jul, 06:06:10,none,2,center,DU,female,sat2,subadult,1,1,PE,4,0,1,1
916,06/10/2016,jun_jul, 06:16:10,none,2,center,MA,female,sat2,subadult,3,2,PE,8,0,0,1
916,06/10/2016,jun_jul, 06:26:10,none,2,satellite,ME,female,sat2,subadult,1,1,CL,3,0,1,1
916,06/10/2016,jun_jul, 06:36:10,before,2,satellite,PE,female,sat2,subadult,2,2,CL,6,0,0,1
916,06/10/2016,jun_jul, 06:56:10,before,2,satellite,DU,female,sat2,subadult,2,2,CL,4,0,1,1
916,06/10/2016,jun_jul, 07:06:10,after,1,satellite,MA,female,sat2,subadult,2,2,CL,3,0,2,1
916,06/10/2016,jun_jul, 07:16:10,after,1,satellite,ME,female,sat2,subadult,2,2,multiple,7,0,0,1
916,06/10/2016,jun_jul, 07:26:10,after,1,satellite,PE,female,sat2,subadult,2,2,DU,3,0,2,1
916,06/10/2016,jun_jul, 07:46:10,none,1,satellite,DU,female,sat2,subadult,0,0,CL,4,0,2,1
916,06/10/2016,jun_jul, 07:56:10,none,1,satellite,PE,female,sat2,subadult,2,2,MA,2,0,4,1
916,06/10/2016,jun_jul, 14:00:04,before,2,satellite,RK,female,sat3,adult,2,2,TR,13,0,0,1
916,06/10/2016,jun_jul, 14:10:04,before,2,center,PP,female,sat3,adult,4,2,TR,9,0,0,1
916,06/10/2016,jun_jul, 14:30:04,after,2,satellite,TR,female,sat3,adult,2,2,PO,2,0,1,1
916,06/10/2016,jun_jul, 14:40:04,after,2,center,TR,female,sat3,adult,2,1,RK,7,0,0,1
916,06/10/2016,jun_jul, 14:50:04,after,2,satellite,RK,female,sat3,adult,1,1,TR,4,0,2,1
916,06/10/2016,jun_jul, 15:00:04,none,2,center,TR,female,sat3,adult,2,1,RK,5,0,1,1
916,06/10/2016,jun_jul, 15:10:04,none,1,center,PP,female,sat3,adult,2,1,TR,4,0,3,1
916,06/10/2016,jun_jul, 15:30:04,none,2,satellite,RK,female,sat3,adult,1,1,TR,3,0,1,1
916,06/10/2016,jun_jul, 15:40:04,none,1,satellite,TR,female,sat3,adult,1,1,RK,2,0,2,1
916,06/10/2016,jun_jul, 16:00:04,before,2,satellite,PP,female,sat3,adult,2,2,RK,8,0,0,1
1231,06/10/2016,jun_jul, 16:02:13,before,1,satellite,FY,female,sat1,adult,1,1,PA,7,0,0,1
1231,06/10/2016,jun_jul, 16:52:13,after,1,satellite,FY,female,sat1,adult,1,1,PA,9,0,0,1
1231,06/10/2016,jun_jul, 17:02:13,none,1,satellite,PA,female,sat1,adult,2,2,FY,12,0,0,1
1231,06/10/2016,jun_jul, 17:52:13,none,1,satellite,FY,female,sat1,adult,1,1,PA,12,0,0,1
1231,06/11/2016,jun_jul, 08:03:48,none,1,satellite,MA,female,sat2,subadult,2,2,CL,5,0,1,1
1231,06/11/2016,jun_jul, 08:13:48,none,1,satellite,DU,female,sat2,subadult,0,0,multiple,6,0,0,1
1231,06/11/2016,jun_jul, 08:23:48,none,1,satellite,ME,female,sat2,subadult,2,2,multiple,5,0,2,1
1231,06/11/2016,jun_jul, 08:43:48,none,1,satellite,PE,female,sat2,subadult,1,1,ME,1,1,4,1
1231,06/11/2016,jun_jul, 08:53:48,none,1,satellite,MA,female,sat2,subadult,2,2,multiple,3,0,2,1
1231,06/11/2016,jun_jul, 09:03:48,none,1,satellite,DU,female,sat2,subadult,1,1,CL,3,0,1,1
1231,06/11/2016,jun_jul, 09:13:48,none,1,satellite,ME,female,sat2,subadult,2,2,multiple,1,2,4,1
1231,06/11/2016,jun_jul, 09:23:48,none,1,satellite,ME,female,sat2,subadult,2,2,PE,1,1,4,1
1231,06/11/2016,jun_jul, 09:43:48,none,1,satellite,PE,female,sat2,subadult,2,2,MA,1,1,1,1
1231,06/11/2016,jun_jul, 09:53:48,none,1,satellite,MA,female,sat2,subadult,2,2,DU,3,0,2,1
1231,06/12/2016,jun_jul, 07:42:55,none,2,satellite,TR,female,sat3,adult,2,2,RK,10,0,0,1
1231,06/12/2016,jun_jul, 07:52:55,none,2,satellite,TR,female,sat3,adult,2,2,PO,6,0,0,1
